,SEG
1024,-527264043
1025,-523867100
1026,477350904
1027,-317901472
1028,-15570757
1029,460474156
1030,-44452952
1031,494922504
1032,476048016
1033,63323744
1034,48744468
1035,-488089024
1036,66451440
1037,-543155648
1038,-55988844
1039,467297624
1040,-54813984
1041,492341552
1042,1567296
1043,19150464
1044,54810896
1045,-706400
1046,53606388
1047,-27343904
1048,-97945920
1049,56593200
1050,-177693132
1051,-408113928
1052,-25702152
1053,-125597904
1054,-364948624
1055,-57802992
1056,-403040000
1057,-411979080
1058,209728
1059,8328480
1060,421037336
1061,424375544
1062,399425480
1063,467003128
1064,-455347240
1065,-449744600
1066,-176509704
1067,-486571352
1068,323185648
1069,7282600
1070,-221743688
1071,12814968
1072,-303886776
1073,12008048
1074,-798720
1075,509825776
1076,474882072
1077,487452672
1078,487438976
1079,-23423769336
1080,-171591744
1081,-47076600
1082,-510039720
1083,22973843488
1084,-23164379392
1085,-23301456928
1086,37421392
1087,-45882032
1088,23347805400
1089,23348795576
1090,472879144
1091,523298680
1092,985104
1093,54530508
1094,51428239
1095,-50572320
1096,55445024
1097,909428
1098,4022529
1099,55601536
1100,-555258336
1101,-555254240
1102,-555254240
1103,-555252288
1104,437199252
1105,437199252
1106,437117392
1107,436523304
1108,-73652
1109,-659564
1110,-667816
1111,739328
1112,151368
1113,737280
1114,208
1115,18432
1116,-696320
1117,-172032
1118,835376
1119,-77816
1120,712704
1121,188416
1122,-51032
1123,55288
1124,-85892
1125,-85892
1126,-22572
1127,-22360
1128,36908
1129,36908
1130,41004
1131,-16544
1132,-16544
1133,-16544
1134,-24576
1135,-126167592
1136,68399568
1137,-406620200
1138,-367292712
1139,100037840
1140,-475013896
1141,49984512
1142,294675824
1143,-274342304
1144,106138240
1145,373282392
1146,186642762
1147,186829288
1148,414114904
1149,-379836368
1150,-477215698
1151,-312017952
1152,-549481440
1153,-72656920
1154,410851760
1155,467033536
1156,488041704
1157,477141228
1158,-6057896
1159,-69984
1160,-10590776
1161,-8431620
1162,-8764520
1163,-8454960
1164,-422134824
1165,-63015816
1166,-369879992
1167,-88605992
1168,425398952
1169,-30612040
1170,-30284104
1171,-23260225596
1172,-3856700
1173,33339192
1174,363432104
1175,23288566276
1176,72328316
1177,20329120
1178,-294740972
1179,-390198456
1180,-530965776
1181,-362035392
1182,-70498636
1183,118992648
1184,74974640
1185,26484824
1186,-40980384
1187,360264704
1188,393322672
1189,404278720
1190,457610016
1191,-188867180
1192,-461328639
1193,-510641908
1194,-156269360
1195,18462252
1196,110218839
1197,455498872
1198,115260240
1199,-260366100
1200,-109378600
1201,-424088252
1202,-422948240
1203,-40679132
1204,-6642596
1205,-7613216
1206,-1957852
1207,558701488
1208,-9282292
1209,61525610
1210,466645429
1211,-567302096
1212,15904456
1213,176441926
1214,1111723
1215,43170328
1216,459141768
1217,-126640992
1218,-474406892
1219,172648328
1220,-465877172
1221,289075908
1222,5992792
1223,-216463048
1224,214294664
1225,-177794320
1226,435224392
1227,653264
1228,249763620
1229,-214980756
1230,-138868416
1231,476969344
1232,1868984
1233,531384968
1234,-79462140
1235,-7741672
1236,-391997512
1237,-64565328
1238,252991300
1239,-38073752
1240,-30442920
1241,-493560368
1242,-495235216
1243,-457079704
1244,-71301720
1245,-57312
1246,495252754
1247,495166578
1248,495211442
1249,495223570
1250,7552
1251,15744
1252,28032
1253,3456
1254,-455962274
1255,62379118
1256,-461014310
1257,-461005970
1258,285307920
1259,-542991768
1260,12637540
1261,338628104
1262,-290305976
1263,19115208
1264,-13124624
1265,-337406944
1266,-7453432
1267,47360964
1268,47360976
1269,-38783544
1270,502968184
1271,448538828
1272,-47346168
1273,37539448
1274,-287572384
1275,-389788560
1276,106096440
1277,73061224
1278,-227197736
1279,-150150800
1280,-125253864
1281,422666640
1282,488119084
1283,567935056
1284,543287944
1285,-342437984
1286,-315634940
1287,-370137136
1288,-370383360
1289,8448
1290,12288
1291,8192
1292,5072
1293,11792
1294,13264
1295,11792
1296,15408
1297,9168
1298,-5072
1299,-3120
1300,-4096
1301,-4096
1302,8192
1303,8192
1304,8192
1305,8192
1306,4592
1307,7712
1308,8688
1309,7216
1310,7936
1311,12032
1312,7696
1313,12784
1314,12048
1315,8448
1316,8192
1317,8192
1318,8192
1319,8192
1320,8192
1321,7696
1322,8688
1323,7936
1324,8192
1325,-192464400
1326,381463584
1327,364614248
1328,338785456
1329,599547072
1330,24745424
1331,52444264
1332,69046624
1333,-70835288
1334,-69961584
1335,-80807008
1336,-71580352
1337,73837608
1338,6133232
1339,-20387304
1340,6180704
1341,-67703912
1342,-35762512
1343,90898056
1344,-16617152
1345,-22130992
1346,33103632
1347,-64318728
1348,16672096
1349,-11262208
1350,30347520
1351,-30114664
1352,-37419200
1353,72458168
1354,-61081824
1355,-480558276
1356,59265232
1357,-52603400
1358,104014704
1359,-5137933916
1360,-143897064
1361,-108402208
